sname,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17
F0101 保安道體育館,7631,95,269,528,774,1078,1456,1764,2077,2430,2751,3102,3416,3660,4004,4402
F0201 福榮街官立小學,6824,73,223,469,686,1015,1379,1687,1982,2321,2603,2928,3202,3536,3912,4293
F0301 英華女學校,5870,63,212,423,624,872,1038,1297,1540,1762,1984,2172,2378,2606,2878,3156
F0401 石硤尾社區會堂,10482,129,432,870,1322,1703,2091,2529,2906,3342,3713,4135,4549,4903,5358,5817
F0501 基督教香港崇真會安康幼兒學校,6444,83,241,483,760,1020,1213,1464,1729,2001,2248,2483,2733,3015,3330,3623
F0601 深水埔街坊福利事務促進會,6445,87,253,461,697,932,1113,1393,1634,1934,2181,2422,2623,2856,3150,3398
F0701 北河街體育館,4986,78,201,350,549,748,921,1105,1265,1447,1631,1824,1985,2155,2337,2495
F0801 南昌社區中心,7720,96,251,467,720,973,1217,1488,1742,2036,2311,2579,2944,3240,3671,3943
F0901 英華書院,11250,168,457,457,1339,1611,2037,2336,2731,3127,3590,4030,4510,4967,5647,6173
F1001 麗閣社區會堂,9105,104,357,669,1055,1445,1782,2294,2521,2906,3262,3681,3938,4310,4662,5082
F1101 旅港開平商會學校,6125,134,360,573,793,1056,1245,1453,1777,2019,2234,2482,2725,2971,3299,3559
F1201 聖公會聖馬利亞堂莫慶堯中學,10722,162,433,817,1192,1615,1997,2485,3082,3082,3082,4696,4919,5453,5840,6516
F1301 美孚新邨孚佑堂,8730,101,315,614,1007,1375,1854,2288,2703,3157,3621,4011,4430,4818,5369,5933
F1401 博愛醫院美孚荔灣街坊會梁之潛伉儷長者健康支援及進修中心,7442,107,288,548,890,1231,1563,1945,2293,2738,3064,3413,3783,4090,4468,4971
F1501 荔枝角公園體育館,8175,143,353,668,1086,1504,1831,2237,2652,3070,3455,3854,4182,4556,5013,5520
F1601 荔枝角社區會堂,7565,95,267,534,960,1287,1683,1683,3366,3366,3599,4037,4343,4845,5289,5833
F1701 五邑工商總會學校,4583,82,215,390,590,769,936,1140,1317,1527,1745,1922,2127,2305,2540,2753
F1801 長沙灣體育館,10420,164,512,970,1459,1854,2258,2673,3084,3463,3829,4200,4587,4932,5328,5791
F1901 長沙灣社區中心,9260,116,388,716,1064,1440,1761,2157,2523,2906,3343,3578,3962,4312,4727,5092
F2001 白田社區會堂,7895,91,261,564,784,1097,1321,1625,1880,2195,2477,2751,3055,3394,3719,4072
F2101 聖母玫瑰書院,5918,82,202,394,610,846,1166,1445,1716,2006,2297,2530,2871,3165,3517,3987
F2201 大坑東社區中心,8996,126,336,722,1080,1439,1719,2027,2438,2805,3196,3562,3980,4297,4682,5062
F2301 白田天主教小學,3797,35,139,281,411,524,639,770,924,1105,1249,1405,1589,1769,1926,2076
F2302 香港城市大學澤安中心,4597,74,213,369,529,728,909,1064,1261,1457,1655,1872,2057,2257,2444,2811
G0101 馬頭涌官立小學,9364,104,351,696,1080,1483,1859,2183,2543,2988,3399,3748,4166,4607,5059,5477
G0201 土瓜灣體育館,13250,197,589,1115,1694,2193,2640,3219,3783,4367,4914,5313,6038,6532,7006,7738
G0301 保良局林文燦英文小學,9598,170,434,870,1146,1525,1904,2218,2590,2947,3398,3890,4248,4602,5064,5522
G0401 獻主會聖馬善樂小學,8762,85,335,335,1086,1438,1729,2104,2462,2848,3244,3619,3896,4281,4709,5169
G0501 聖文嘉幼稚園,5543,99,265,486,703,935,1143,1326,1503,1727,1955,2174,2388,2612,2799,3055
G0502 循道衛理楊震社會服務處何文田青少年綜合發展中心,4523,86,217,423,611,793,926,1069,1256,1425,1654,1856,2011,2219,2403,2569
G0601 余振強紀念中學,6133,93,267,451,710,1002,1352,1625,1878,2192,2478,2732,3022,3250,3551,3924
G0602 何文田官立中學,3234,47,132,256,398,538,676,818,951,1067,1236,1377,1564,1662,1809,2024
G0701 明愛九龍社區中心,3209,32,99,184,328,485,592,706,832,982,1125,1298,1449,1594,1796,2001
G0702 九龍總商會,4963,74,196,312,550,798,1006,1228,1453,1710,1901,2106,2380,2611,2831,3080
